19:52:17.493 [http-nio-8089-exec-8] INFO  c.a.a.service.WebSocketService[onOpen] - 有连接加入，当前连接数为：1
19:52:17.494 [http-nio-8089-exec-8] INFO  c.a.a.service.WebSocketService[onMessage] - 来自客户端的消息：消息发送测试(From Client)
19:52:18.041 [http-nio-8089-exec-10] INFO  c.a.a.service.WebSocketService[onClose] - 有连接关闭，当前连接数为：0
19:52:18.047 [http-nio-8089-exec-6] INFO  c.a.a.service.WebSocketService[onOpen] - 有连接加入，当前连接数为：1
19:52:18.048 [http-nio-8089-exec-6] INFO  c.a.a.service.WebSocketService[onMessage] - 来自客户端的消息：消息发送测试(From Client)
19:52:18.962 [http-nio-8089-exec-7] INFO  c.a.a.service.WebSocketService[onClose] - 有连接关闭，当前连接数为：0
19:52:18.969 [http-nio-8089-exec-4] INFO  c.a.a.service.WebSocketService[onOpen] - 有连接加入，当前连接数为：1
19:52:18.970 [http-nio-8089-exec-4] INFO  c.a.a.service.WebSocketService[onMessage] - 来自客户端的消息：消息发送测试(From Client)
19:52:47.097 [main] INFO  c.a.a.AgricultureApplication[logStartupProfileInfo] - The following profiles are active: dev
19:52:48.880 [main] INFO  c.a.a.config.DataBaseConfiguration[dataSource] - .............初始化 aosica-agriculture 数据..................
19:52:48.905 [main] INFO  c.a.a.config.DataBaseConfiguration[dataSource] - ............数据 aosica-agriculture 连接成功..................
19:52:49.809 [main] INFO  c.a.a.config.MybatisConfiguration[pageHelper] - ************ init MyBatis pageHelper  *********** 
19:52:51.121 [main] INFO  c.a.a.AgricultureApplication[logStarted] - Started AgricultureApplication in 5.98 seconds (JVM running for 6.529)
19:52:55.460 [http-nio-8089-exec-1] INFO  c.a.a.service.WebSocketService[onOpen] - 有连接加入，当前连接数为：1
19:52:55.464 [http-nio-8089-exec-1] INFO  c.a.a.service.WebSocketService[onMessage] - 来自客户端的消息：消息发送测试(From Client)
19:52:59.148 [http-nio-8089-exec-4] INFO  c.a.a.service.WebSocketService[onClose] - 有连接关闭，当前连接数为：0
